  
16g -113.59g 10g
17g -114.865g 10g
18g -116.991g 10g
19g -119.968g 10g
20g -123.794g 10g
21g -128.471g 10g
22g -133.999g 10g
23g -140.376g 10g
24g -147.605g 10g
25g -155.683g 10g
26g -164.613g 10g
  
27g -174.402g 10g
26g -164.613g 10g
25g -155.683g 10g
24g -147.605g 10g
23g -140.376g 10g
22g -133.999g 10g
21g -128.471g 10g
20g -123.794g 10g
19g -119.968g 10g
18g -116.991g 10g
17g -114.865g 10g
16g -113.59g 10g
15g -113.165g 10g
14g -113.59g 10g
13g -114.865g 10g
12g -116.991g 10g
11g -119.968g 10g
10g -123.794g 10g
9g -128.471g 10g
8g -133.999g 10g
7g -140.376g 10g
6g -147.605g 10g
5g -155.683g 10g
4g -164.613g 10g
  
3g -174.402g 10g
4g -164.613g 10g
5g -155.683g 10g
6g -147.605g 10g
7g -140.376g 10g
8g -133.999g 10g
9g -128.471g 10g
10g -123.794g 10g
11g -119.968g 10g
12g -116.991g 10g
13g -114.865g 10g
14g -113.59g 10g
15g -113.165g 10g
  
16g -113.59g 10g
17g -114.865g 10g
18g -116.991g 10g
19g -119.968g 10g
20g -123.794g 10g
21g -128.471g 10g
22g -133.999g 10g
23g -140.376g 10g
24g -147.605g 10g
25g -155.683g 10g
26g -164.613g 10g
