#T	β	c	e	chi	s
0.0568182	17.6	4.39356e-06	-2.19299	5.76921	-0.391597
0.0564972	17.7	4.12036e-06	-2.19299	5.80199	-0.391597
0.0561798	17.8	3.86664e-06	-2.19299	5.83477	-0.391597
0.0558659	17.9	3.63141e-06	-2.19299	5.86755	-0.391597
0.0555556	18	3.41351e-06	-2.19299	5.90033	-0.391597
0.0552486	18.1	3.21219e-06	-2.19299	5.9331	-0.391597
0.0549451	18.2	3.0257e-06	-2.19299	5.96588	-0.391597
0.0546448	18.3	2.85213e-06	-2.19299	5.99866	-0.391597
0.0543478	18.4	2.69142e-06	-2.19299	6.03144	-0.391597
0.0540541	18.5	2.5431e-06	-2.19299	6.06422	-0.391597
0.0537634	18.6	2.40571e-06	-2.19299	6.097	-0.391597
0.0534759	18.7	2.27862e-06	-2.19299	6.12978	-0.391597
0.0531915	18.8	2.16091e-06	-2.19299	6.16256	-0.391597
0.0529101	18.9	2.05203e-06	-2.19299	6.19534	-0.391597
0.0526316	19	1.95216e-06	-2.19299	6.22812	-0.391597
0.052356	19.1	1.85922e-06	-2.19299	6.2609	-0.391597
0.0520833	19.2	1.77372e-06	-2.19299	6.29368	-0.391597
0.0518135	19.3	1.69457e-06	-2.19299	6.32646	-0.391597
0.0515464	19.4	1.62133e-06	-2.19299	6.35924	-0.391597
0.0512821	19.5	1.5543e-06	-2.19299	6.39202	-0.391597
0.0510204	19.6	1.49242e-06	-2.19299	6.4248	-0.391597
0.0507614	19.7	1.4354e-06	-2.19299	6.45758	-0.391597
0.0505051	19.8	1.38248e-06	-2.19299	6.49036	-0.391597
0.0502513	19.9	1.33433e-06	-2.19299	6.52314	-0.391597
0.05	20	1.29009e-06	-2.19299	6.55592	-0.391597
0.0497512	20.1	1.24959e-06	-2.19299	6.5887	-0.391597
0.049505	20.2	1.2121e-06	-2.19299	6.62148	-0.391597
0.0492611	20.3	1.17828e-06	-2.19299	6.65426	-0.391597
0.0490196	20.4	1.1473e-06	-2.19299	6.68703	-0.391597
0.0487805	20.5	1.1188e-06	-2.19299	6.71981	-0.391597
0.0485437	20.6	1.09238e-06	-2.19299	6.75259	-0.391597
0.0483092	20.7	1.06934e-06	-2.19299	6.78537	-0.391597
0.0480769	20.8	1.0474e-06	-2.19299	6.81815	-0.391597
0.0478469	20.9	1.02871e-06	-2.19299	6.85093	-0.391597
0.047619	21	1.01095e-06	-2.19299	6.88371	-0.391597
0.0473934	21.1	9.95432e-07	-2.19299	6.91649	-0.391597
0.0471698	21.2	9.81556e-07	-2.19299	6.94927	-0.391597
0.0469484	21.3	9.69078e-07	-2.19299	6.98205	-0.391597
0.046729	21.4	9.57546e-07	-2.19299	7.01483	-0.391597
0.0465116	21.5	9.47294e-07	-2.19299	7.04761	-0.391597
0.0462963	21.6	9.39203e-07	-2.19299	7.08039	-0.391597
0.0460829	21.7	9.31741e-07	-2.19299	7.11317	-0.391597
0.0458716	21.8	9.25346e-07	-2.19299	7.14595	-0.391597
