#T	β	c	e	chi	s
0.03861	25.9	0.0267007	-0.565743	0.353802	0.0243856
0.0384615	26	0.0265993	-0.565747	0.353783	0.0242829
0.0383142	26.1	0.0264988	-0.565751	0.353763	0.024181
0.0381679	26.2	0.0263991	-0.565755	0.353742	0.0240799
0.0380228	26.3	0.0263003	-0.565758	0.353721	0.0239795
0.0378788	26.4	0.0262023	-0.565762	0.353699	0.0238799
0.0377358	26.5	0.0261051	-0.565766	0.353675	0.023781
0.037594	26.6	0.0260086	-0.56577	0.353651	0.0236829
0.0374532	26.7	0.025913	-0.565773	0.353626	0.0235855
0.0373134	26.8	0.0258182	-0.565777	0.353601	0.0234888
0.0371747	26.9	0.0257241	-0.565781	0.353574	0.0233928
0.037037	27	0.0256308	-0.565784	0.353546	0.0232975
0.0369004	27.1	0.0255383	-0.565788	0.353517	0.023203
0.0367647	27.2	0.0254465	-0.565791	0.353488	0.0231091
0.03663	27.3	0.0253555	-0.565794	0.353457	0.0230159
0.0364964	27.4	0.0252652	-0.565798	0.353425	0.0229234
0.0363636	27.5	0.0251757	-0.565801	0.353393	0.0228315
0.0362319	27.6	0.0250868	-0.565805	0.353359	0.0227403
0.0361011	27.7	0.0249987	-0.565808	0.353324	0.0226497
0.0359712	27.8	0.0249113	-0.565811	0.353288	0.0225598
0.0358423	27.9	0.0248246	-0.565814	0.353251	0.0224705
0.0357143	28	0.0247387	-0.565817	0.353214	0.0223819
0.0355872	28.1	0.0246534	-0.565821	0.353175	0.0222938
0.035461	28.2	0.0245687	-0.565824	0.353134	0.0222064
0.0353357	28.3	0.0244848	-0.565827	0.353093	0.0221196
0.0352113	28.4	0.0244015	-0.56583	0.353051	0.0220334
0.0350877	28.5	0.0243189	-0.565833	0.353007	0.0219478
0.034965	28.6	0.024237	-0.565836	0.352963	0.0218628
0.0348432	28.7	0.0241557	-0.565839	0.352917	0.0217783
0.0347222	28.8	0.0240751	-0.565842	0.35287	0.0216945
0.0346021	28.9	0.0239951	-0.565844	0.352822	0.0216112
0.0344828	29	0.0239157	-0.565847	0.352772	0.0215284
0.0343643	29.1	0.023837	-0.56585	0.352722	0.0214463
0.0342466	29.2	0.0237589	-0.565853	0.35267	0.0213646
0.0341297	29.3	0.0236814	-0.565856	0.352617	0.0212836
0.0340136	29.4	0.0236045	-0.565858	0.352562	0.021203
0.0338983	29.5	0.0235282	-0.565861	0.352507	0.021123
0.0337838	29.6	0.0234526	-0.565864	0.35245	0.0210435
0.03367	29.7	0.0233775	-0.565867	0.352392	0.0209646
0.033557	29.8	0.023303	-0.565869	0.352332	0.0208862
0.0334448	29.9	0.0232291	-0.565872	0.352272	0.0208082
0.0333333	30	0.0231558	-0.565874	0.35221	0.0207308
0.0332226	30.1	0.0230831	-0.565877	0.352146	0.0206539
0.0331126	30.2	0.023011	-0.565879	0.352081	0.0205775
0.0330033	30.3	0.0229394	-0.565882	0.352015	0.0205015
0.0328947	30.4	0.0228683	-0.565884	0.351948	0.0204261
0.0327869	30.5	0.0227979	-0.565887	0.351879	0.0203511
0.0326797	30.6	0.022728	-0.565889	0.351809	0.0202766
0.0325733	30.7	0.0226586	-0.565892	0.351737	0.0202026
0.0324675	30.8	0.0225898	-0.565894	0.351664	0.0201291
0.0323625	30.9	0.0225215	-0.565897	0.35159	0.020056
0.0322581	31	0.0224537	-0.565899	0.351514	0.0199834
0.0321543	31.1	0.0223865	-0.565901	0.351437	0.0199112
0.0320513	31.2	0.0223198	-0.565904	0.351358	0.0198394
0.0319489	31.3	0.0222536	-0.565906	0.351278	0.0197682
0.0318471	31.4	0.022188	-0.565908	0.351197	0.0196973
0.031746	31.5	0.0221228	-0.56591	0.351114	0.0196269
0.0316456	31.6	0.0220582	-0.565913	0.351029	0.0195569
0.0315457	31.7	0.021994	-0.565915	0.350943	0.0194873
0.0314465	31.8	0.0219304	-0.565917	0.350856	0.0194182
0.031348	31.9	0.0218673	-0.565919	0.350767	0.0193495
0.03125	32	0.0218046	-0.565921	0.350676	0.0192811
0.0311526	32.1	0.0217424	-0.565923	0.350584	0.0192132
0.0310559	32.2	0.0216808	-0.565925	0.350491	0.0191457
0.0309598	32.3	0.0216196	-0.565928	0.350396	0.0190786
0.0308642	32.4	0.0215589	-0.56593	0.350299	0.0190119
0.0307692	32.5	0.0214986	-0.565932	0.350201	0.0189456
0.0306748	32.6	0.0214388	-0.565934	0.350101	0.0188797
0.030581	32.7	0.0213795	-0.565936	0.35	0.0188142
0.0304878	32.8	0.0213207	-0.565938	0.349897	0.018749
0.0303951	32.9	0.0212623	-0.56594	0.349793	0.0186842
0.030303	33	0.0212043	-0.565942	0.349687	0.0186198
0.0302115	33.1	0.0211468	-0.565943	0.349579	0.0185558
0.0301205	33.2	0.0210898	-0.565945	0.34947	0.0184921
0.03003	33.3	0.0210332	-0.565947	0.349359	0.0184288
0.0299401	33.4	0.020977	-0.565949	0.349247	0.0183659
0.0298507	33.5	0.0209213	-0.565951	0.349133	0.0183033
0.0297619	33.6	0.020866	-0.565953	0.349017	0.0182411
0.0296736	33.7	0.0208111	-0.565955	0.3489	0.0181792
0.0295858	33.8	0.0207567	-0.565957	0.348781	0.0181176
0.0294985	33.9	0.0207026	-0.565958	0.34866	0.0180564
0.0294118	34	0.020649	-0.56596	0.348538	0.0179956
0.0293255	34.1	0.0205958	-0.565962	0.348414	0.0179351
0.0292398	34.2	0.0205431	-0.565964	0.348288	0.0178749
0.0291545	34.3	0.0204907	-0.565965	0.348161	0.017815
0.0290698	34.4	0.0204387	-0.565967	0.348032	0.0177555
0.0289855	34.5	0.0203872	-0.565969	0.347902	0.0176963
0.0289017	34.6	0.020336	-0.565971	0.347769	0.0176374
0.0288184	34.7	0.0202853	-0.565972	0.347636	0.0175788
0.0287356	34.8	0.0202349	-0.565974	0.3475	0.0175206
0.0286533	34.9	0.0201849	-0.565976	0.347363	0.0174626
0.0285714	35	0.0201353	-0.565977	0.347224	0.017405
0.02849	35.1	0.0200861	-0.565979	0.347083	0.0173477
0.0284091	35.2	0.0200373	-0.565981	0.346941	0.0172907
0.0283286	35.3	0.0199889	-0.565982	0.346796	0.0172339
0.0282486	35.4	0.0199408	-0.565984	0.346651	0.0171775
0.028169	35.5	0.0198931	-0.565985	0.346503	0.0171214
0.0280899	35.6	0.0198458	-0.565987	0.346354	0.0170656
0.0280112	35.7	0.0197988	-0.565988	0.346203	0.01701
0.027933	35.8	0.0197522	-0.56599	0.34605	0.0169548
0.0278552	35.9	0.019706	-0.565992	0.345895	0.0168998
0.0277778	36	0.0196601	-0.565993	0.345739	0.0168451
0.0277008	36.1	0.0196146	-0.565995	0.345581	0.0167907
0.0276243	36.2	0.0195694	-0.565996	0.345422	0.0167366
0.0275482	36.3	0.0195246	-0.565998	0.34526	0.0166827
0.0274725	36.4	0.0194801	-0.565999	0.345097	0.0166291
0.0273973	36.5	0.019436	-0.566001	0.344932	0.0165758
0.0273224	36.6	0.0193922	-0.566002	0.344765	0.0165228
0.027248	36.7	0.0193488	-0.566003	0.344597	0.01647
0.0271739	36.8	0.0193057	-0.566005	0.344427	0.0164175
0.0271003	36.9	0.0192629	-0.566006	0.344255	0.0163652
0.027027	37	0.0192204	-0.566008	0.344081	0.0163132
0.0269542	37.1	0.0191783	-0.566009	0.343906	0.0162615
0.0268817	37.2	0.0191365	-0.56601	0.343729	0.01621
0.0268097	37.3	0.0190951	-0.566012	0.34355	0.0161587
0.026738	37.4	0.0190539	-0.566013	0.343369	0.0161078
0.0266667	37.5	0.0190131	-0.566015	0.343186	0.016057
0.0265957	37.6	0.0189726	-0.566016	0.343002	0.0160065
0.0265252	37.7	0.0189324	-0.566017	0.342816	0.0159563
0.026455	37.8	0.0188925	-0.566019	0.342628	0.0159062
0.0263852	37.9	0.0188529	-0.56602	0.342439	0.0158565
0.0263158	38	0.0188137	-0.566021	0.342247	0.0158069
0.0262467	38.1	0.0187747	-0.566022	0.342054	0.0157576
0.026178	38.2	0.018736	-0.566024	0.341859	0.0157085
0.0261097	38.3	0.0186977	-0.566025	0.341663	0.0156597
0.0260417	38.4	0.0186596	-0.566026	0.341464	0.0156111
0.025974	38.5	0.0186218	-0.566028	0.341264	0.0155627
0.0259067	38.6	0.0185843	-0.566029	0.341062	0.0155145
0.0258398	38.7	0.0185471	-0.56603	0.340859	0.0154666
0.0257732	38.8	0.0185102	-0.566031	0.340653	0.0154189
0.0257069	38.9	0.0184736	-0.566033	0.340446	0.0153714
0.025641	39	0.0184373	-0.566034	0.340237	0.0153241
0.0255754	39.1	0.0184012	-0.566035	0.340026	0.015277
0.0255102	39.2	0.0183654	-0.566036	0.339813	0.0152302
0.0254453	39.3	0.0183299	-0.566037	0.339599	0.0151835
0.0253807	39.4	0.0182947	-0.566038	0.339383	0.0151371
0.0253165	39.5	0.0182598	-0.56604	0.339165	0.0150909
0.0252525	39.6	0.0182251	-0.566041	0.338946	0.0150449
0.0251889	39.7	0.0181906	-0.566042	0.338724	0.0149991
0.0251256	39.8	0.0181565	-0.566043	0.338501	0.0149535
0.0250627	39.9	0.0181226	-0.566044	0.338276	0.0149081
0.025	40	0.018089	-0.566045	0.33805	0.0148629
0.0249377	40.1	0.0180556	-0.566047	0.337821	0.0148178
0.0248756	40.2	0.0180225	-0.566048	0.337591	0.014773
0.0248139	40.3	0.0179896	-0.566049	0.337359	0.0147284
0.0247525	40.4	0.017957	-0.56605	0.337126	0.014684
0.0246914	40.5	0.0179247	-0.566051	0.33689	0.0146398
0.0246305	40.6	0.0178926	-0.566052	0.336653	0.0145957
0.02457	40.7	0.0178607	-0.566053	0.336414	0.0145519
0.0245098	40.8	0.0178291	-0.566054	0.336174	0.0145082
0.0244499	40.9	0.0177977	-0.566055	0.335932	0.0144647
0.0243902	41	0.0177666	-0.566056	0.335688	0.0144215
0.0243309	41.1	0.0177357	-0.566057	0.335442	0.0143783
0.0242718	41.2	0.017705	-0.566058	0.335194	0.0143354
0.0242131	41.3	0.0176746	-0.566059	0.334945	0.0142927
0.0241546	41.4	0.0176444	-0.56606	0.334694	0.0142501
0.0240964	41.5	0.0176145	-0.566061	0.334442	0.0142077
0.0240385	41.6	0.0175847	-0.566062	0.334187	0.0141655
0.0239808	41.7	0.0175552	-0.566064	0.333931	0.0141235
0.0239234	41.8	0.0175259	-0.566065	0.333673	0.0140816
0.0238663	41.9	0.0174969	-0.566066	0.333414	0.0140399
0.0238095	42	0.0174681	-0.566066	0.333153	0.0139984
