#T	β	c	e	chi	s
0.344828	2.9	0.30711	-0.39137	0.407826	0.270921
0.333333	3	0.298866	-0.394853	0.404894	0.260648
0.322581	3.1	0.290485	-0.398022	0.402109	0.250985
0.3125	3.2	0.282061	-0.400908	0.399472	0.241895
0.30303	3.3	0.273673	-0.40354	0.396982	0.233344
0.294118	3.4	0.265383	-0.405942	0.394636	0.225298
0.285714	3.5	0.257241	-0.408139	0.392429	0.217723
0.277778	3.6	0.249288	-0.410149	0.390355	0.210588
0.27027	3.7	0.241552	-0.411991	0.388409	0.203864
0.263158	3.8	0.234056	-0.413683	0.386583	0.197522
0.25641	3.9	0.226814	-0.415238	0.384871	0.191537
0.25	4	0.219836	-0.416669	0.383266	0.185883
0.243902	4.1	0.213127	-0.417989	0.381762	0.180537
0.238095	4.2	0.206689	-0.419208	0.380353	0.175479
0.232558	4.3	0.20052	-0.420336	0.379031	0.170689
0.227273	4.4	0.194616	-0.42138	0.377791	0.166147
0.222222	4.5	0.188972	-0.422349	0.376627	0.161837
0.217391	4.6	0.183579	-0.423249	0.375535	0.157743
0.212766	4.7	0.17843	-0.424086	0.374509	0.153851
0.208333	4.8	0.173517	-0.424866	0.373544	0.150146
0.204082	4.9	0.168829	-0.425594	0.372637	0.146617
0.2	5	0.164357	-0.426274	0.371783	0.143251
0.196078	5.1	0.160091	-0.42691	0.370978	0.140039
0.192308	5.2	0.156022	-0.427506	0.370219	0.13697
0.188679	5.3	0.152139	-0.428065	0.369503	0.134035
0.185185	5.4	0.148434	-0.42859	0.368826	0.131226
0.181818	5.5	0.144897	-0.429084	0.368187	0.128535
0.178571	5.6	0.14152	-0.429549	0.367582	0.125955
0.175439	5.7	0.138293	-0.429987	0.367009	0.123479
0.172414	5.8	0.135208	-0.430401	0.366466	0.121101
0.169492	5.9	0.132259	-0.430791	0.36595	0.118815
0.166667	6	0.129437	-0.431161	0.365461	0.116616
0.163934	6.1	0.126735	-0.431511	0.364996	0.114498
0.16129	6.2	0.124146	-0.431843	0.364554	0.112459
0.15873	6.3	0.121665	-0.432157	0.364133	0.110492
0.15625	6.4	0.119285	-0.432456	0.363732	0.108595
0.153846	6.5	0.117001	-0.43274	0.36335	0.106764
0.151515	6.6	0.114807	-0.43301	0.362985	0.104994
0.149254	6.7	0.112699	-0.433267	0.362637	0.103283
0.147059	6.8	0.110672	-0.433513	0.362305	0.101629
0.144928	6.9	0.10872	-0.433746	0.361987	0.100028
0.142857	7	0.106841	-0.433969	0.361682	0.0984768
0.140845	7.1	0.105031	-0.434183	0.361391	0.0969742
0.138889	7.2	0.103286	-0.434386	0.361112	0.0955176
0.136986	7.3	0.101601	-0.434581	0.360845	0.0941046
0.135135	7.4	0.0999745	-0.434768	0.360588	0.0927333
0.133333	7.5	0.0984033	-0.434947	0.360342	0.0914019
0.131579	7.6	0.0968845	-0.435118	0.360106	0.0901087
0.12987	7.7	0.0954154	-0.435282	0.359879	0.0888518
0.128205	7.8	0.0939937	-0.43544	0.359661	0.0876298
0.126582	7.9	0.092617	-0.435591	0.359451	0.0864412
0.125	8	0.0912831	-0.435737	0.359249	0.0852846
0.123457	8.1	0.08999	-0.435877	0.359055	0.0841587
0.121951	8.2	0.0887358	-0.436011	0.358868	0.0830623
0.120482	8.3	0.0875186	-0.436141	0.358688	0.0819941
0.119048	8.4	0.0863368	-0.436265	0.358515	0.080953
0.117647	8.5	0.0851888	-0.436385	0.358348	0.0799381
0.116279	8.6	0.084073	-0.436501	0.358186	0.0789483
0.114943	8.7	0.0829882	-0.436613	0.358031	0.0779826
0.113636	8.8	0.0819329	-0.436721	0.357881	0.0770402
0.11236	8.9	0.0809058	-0.436825	0.357736	0.0761202
0.111111	9	0.0799059	-0.436925	0.357597	0.0752218
0.10989	9.1	0.078932	-0.437022	0.357462	0.0743443
0.108696	9.2	0.077983	-0.437116	0.357331	0.0734868
0.107527	9.3	0.077058	-0.437206	0.357206	0.0726488
0.106383	9.4	0.0761559	-0.437294	0.357084	0.0718294
0.105263	9.5	0.075276	-0.437379	0.356967	0.0710282
0.104167	9.6	0.0744173	-0.437461	0.356853	0.0702445
0.103093	9.7	0.0735791	-0.43754	0.356744	0.0694777
0.102041	9.8	0.0727605	-0.437617	0.356637	0.0687272
0.10101	9.9	0.071961	-0.437692	0.356535	0.0679926
0.1	10	0.0711797	-0.437764	0.356436	0.0672733
0.0990099	10.1	0.070416	-0.437834	0.35634	0.0665688
0.0980392	10.2	0.0696694	-0.437902	0.356247	0.0658788
0.0970874	10.3	0.0689392	-0.437968	0.356157	0.0652026
0.0961538	10.4	0.0682249	-0.438032	0.356071	0.06454
0.0952381	10.5	0.0675259	-0.438094	0.355987	0.0638905
0.0943396	10.6	0.0668417	-0.438155	0.355906	0.0632537
0.0934579	10.7	0.0661718	-0.438213	0.355827	0.0626292
0.0925926	10.8	0.0655159	-0.43827	0.355751	0.0620167
0.0917431	10.9	0.0648733	-0.438326	0.355678	0.0614158
0.0909091	11	0.0642437	-0.438379	0.355607	0.0608262
0.0900901	11.1	0.0636267	-0.438432	0.355538	0.0602476
0.0892857	11.2	0.0630219	-0.438483	0.355471	0.0596797
0.0884956	11.3	0.062429	-0.438532	0.355407	0.0591222
0.0877193	11.4	0.0618475	-0.438581	0.355345	0.0585747
0.0869565	11.5	0.0612771	-0.438627	0.355284	0.058037
0.0862069	11.6	0.0607175	-0.438673	0.355226	0.0575089
0.0854701	11.7	0.0601684	-0.438718	0.35517	0.0569901
0.0847458	11.8	0.0596295	-0.438761	0.355115	0.0564803
0.0840336	11.9	0.0591005	-0.438803	0.355063	0.0559793
0.0833333	12	0.0585811	-0.438845	0.355012	0.0554869
0.0826446	12.1	0.0580711	-0.438885	0.354963	0.0550029
0.0819672	12.2	0.0575701	-0.438924	0.354915	0.054527
0.0813008	12.3	0.057078	-0.438962	0.354869	0.0540591
0.0806452	12.4	0.0565945	-0.438999	0.354825	0.0535989
0.08	12.5	0.0561193	-0.439036	0.354782	0.0531462
0.0793651	12.6	0.0556523	-0.439071	0.354741	0.0527009
0.0787402	12.7	0.0551932	-0.439106	0.354701	0.0522628
0.078125	12.8	0.0547419	-0.43914	0.354663	0.0518317
0.0775194	12.9	0.0542981	-0.439173	0.354626	0.0514074
0.0769231	13	0.0538616	-0.439205	0.35459	0.0509898
0.0763359	13.1	0.0534323	-0.439236	0.354556	0.0505787
0.0757576	13.2	0.0530099	-0.439267	0.354522	0.050174
0.075188	13.3	0.0525943	-0.439297	0.35449	0.0497755
0.0746269	13.4	0.0521854	-0.439327	0.35446	0.049383
0.0740741	13.5	0.051783	-0.439355	0.35443	0.0489965
0.0735294	13.6	0.0513869	-0.439384	0.354402	0.0486158
0.0729927	13.7	0.0509969	-0.439411	0.354374	0.0482408
0.0724638	13.8	0.050613	-0.439438	0.354348	0.0478713
0.0719424	13.9	0.0502349	-0.439464	0.354323	0.0475072
0.0714286	14	0.0498626	-0.43949	0.354299	0.0471485
0.070922	14.1	0.0494959	-0.439515	0.354275	0.0467949
0.0704225	14.2	0.0491346	-0.43954	0.354253	0.0464463
0.0699301	14.3	0.0487788	-0.439564	0.354232	0.0461028
0.0694444	14.4	0.0484281	-0.439587	0.354211	0.0457641
0.0689655	14.5	0.0480826	-0.439611	0.354192	0.0454301
0.0684932	14.6	0.0477421	-0.439633	0.354173	0.0451009
0.0680272	14.7	0.0474065	-0.439655	0.354156	0.0447761
0.0675676	14.8	0.0470757	-0.439677	0.354139	0.0444558
0.0671141	14.9	0.0467495	-0.439698	0.354123	0.0441399
0.0666667	15	0.046428	-0.439719	0.354107	0.0438283
0.0662252	15.1	0.046111	-0.43974	0.354093	0.0435209
0.0657895	15.2	0.0457983	-0.43976	0.354079	0.0432175
0.0653595	15.3	0.0454899	-0.439779	0.354066	0.0429182
0.0649351	15.4	0.0451858	-0.439798	0.354053	0.0426229
0.0645161	15.5	0.0448857	-0.439817	0.354042	0.0423314
0.0641026	15.6	0.0445898	-0.439836	0.354031	0.0420437
0.0636943	15.7	0.0442977	-0.439854	0.35402	0.0417597
0.0632911	15.8	0.0440096	-0.439872	0.354011	0.0414793
0.0628931	15.9	0.0437252	-0.439889	0.354002	0.0412026
0.0625	16	0.0434446	-0.439906	0.353993	0.0409293
0.0621118	16.1	0.0431676	-0.439923	0.353985	0.0406595
0.0617284	16.2	0.0428942	-0.43994	0.353978	0.0403931
0.0613497	16.3	0.0426243	-0.439956	0.353972	0.0401299
0.0609756	16.4	0.0423578	-0.439972	0.353965	0.03987
0.0606061	16.5	0.0420947	-0.439987	0.35396	0.0396133
0.060241	16.6	0.041835	-0.440003	0.353955	0.0393598
0.0598802	16.7	0.0415784	-0.440018	0.35395	0.0391093
0.0595238	16.8	0.0413251	-0.440033	0.353946	0.0388618
0.0591716	16.9	0.0410749	-0.440047	0.353942	0.0386173
0.0588235	17	0.0408277	-0.440061	0.353939	0.0383757
0.0584795	17.1	0.0405836	-0.440075	0.353936	0.038137
0.0581395	17.2	0.0403424	-0.440089	0.353934	0.037901
0.0578035	17.3	0.0401041	-0.440103	0.353932	0.0376678
0.0574713	17.4	0.0398687	-0.440116	0.35393	0.0374374
0.0571429	17.5	0.039636	-0.440129	0.353929	0.0372096
0.0568182	17.6	0.0394061	-0.440142	0.353928	0.0369844
0.0564972	17.7	0.039179	-0.440154	0.353928	0.0367618
0.0561798	17.8	0.0389544	-0.440167	0.353928	0.0365417
0.0558659	17.9	0.0387325	-0.440179	0.353928	0.0363241
0.0555556	18	0.0385131	-0.440191	0.353929	0.0361089
0.0552486	18.1	0.0382963	-0.440203	0.35393	0.0358961
0.0549451	18.2	0.0380819	-0.440214	0.353931	0.0356857
0.0546448	18.3	0.0378699	-0.440226	0.353932	0.0354776
0.0543478	18.4	0.0376604	-0.440237	0.353934	0.0352718
0.0540541	18.5	0.0374532	-0.440248	0.353936	0.0350683
0.0537634	18.6	0.0372483	-0.440259	0.353938	0.0348669
0.0534759	18.7	0.0370457	-0.440269	0.35394	0.0346677
0.0531915	18.8	0.0368453	-0.44028	0.353943	0.0344707
0.0529101	18.9	0.0366471	-0.44029	0.353946	0.0342757
0.0526316	19	0.036451	-0.440301	0.353949	0.0340829
0.052356	19.1	0.0362571	-0.440311	0.353952	0.033892
0.0520833	19.2	0.0360653	-0.44032	0.353955	0.0337032
0.0518135	19.3	0.0358756	-0.44033	0.353959	0.0335164
0.0515464	19.4	0.0356878	-0.44034	0.353962	0.0333314
0.0512821	19.5	0.0355021	-0.440349	0.353966	0.0331484
0.0510204	19.6	0.0353183	-0.440358	0.35397	0.0329673
0.0507614	19.7	0.0351365	-0.440367	0.353974	0.032788
0.0505051	19.8	0.0349566	-0.440376	0.353977	0.0326106
0.0502513	19.9	0.0347785	-0.440385	0.353981	0.0324349
0.05	20	0.0346023	-0.440394	0.353985	0.032261
0.0497512	20.1	0.0344279	-0.440403	0.35399	0.0320889
0.049505	20.2	0.0342553	-0.440411	0.353994	0.0319185
0.0492611	20.3	0.0340844	-0.440419	0.353998	0.0317497
0.0490196	20.4	0.0339153	-0.440428	0.354002	0.0315827
0.0487805	20.5	0.0337479	-0.440436	0.354006	0.0314172
0.0485437	20.6	0.0335822	-0.440444	0.35401	0.0312534
0.0483092	20.7	0.0334181	-0.440452	0.354014	0.0310912
0.0480769	20.8	0.0332557	-0.440459	0.354018	0.0309305
0.0478469	20.9	0.0330949	-0.440467	0.354022	0.0307714
0.047619	21	0.0329357	-0.440474	0.354025	0.0306138
0.0473934	21.1	0.032778	-0.440482	0.354029	0.0304577
0.0471698	21.2	0.0326219	-0.440489	0.354033	0.0303031
0.0469484	21.3	0.0324673	-0.440496	0.354036	0.03015
0.046729	21.4	0.0323142	-0.440503	0.354039	0.0299982
0.0465116	21.5	0.0321626	-0.44051	0.354042	0.029848
0.0462963	21.6	0.0320125	-0.440517	0.354045	0.0296991
0.0460829	21.7	0.0318638	-0.440524	0.354048	0.0295515
0.0458716	21.8	0.0317165	-0.440531	0.354051	0.0294054
0.0456621	21.9	0.0315706	-0.440538	0.354053	0.0292606
0.0454545	22	0.0314261	-0.440544	0.354055	0.0291171
0.0452489	22.1	0.0312829	-0.440551	0.354057	0.0289749
0.045045	22.2	0.0311411	-0.440557	0.354059	0.028834
0.044843	22.3	0.0310006	-0.440563	0.35406	0.0286943
0.0446429	22.4	0.0308615	-0.440569	0.354061	0.0285559
0.0444444	22.5	0.0307236	-0.440575	0.354062	0.0284188
0.0442478	22.6	0.030587	-0.440581	0.354062	0.0282828
0.0440529	22.7	0.0304517	-0.440587	0.354062	0.0281481
0.0438596	22.8	0.0303176	-0.440593	0.354062	0.0280145
0.0436681	22.9	0.0301847	-0.440599	0.354061	0.0278821
0.0434783	23	0.030053	-0.440605	0.35406	0.0277509
0.04329	23.1	0.0299226	-0.44061	0.354059	0.0276208
0.0431034	23.2	0.0297933	-0.440616	0.354057	0.0274918
0.0429185	23.3	0.0296651	-0.440622	0.354055	0.027364
0.042735	23.4	0.0295382	-0.440627	0.354052	0.0272372
0.0425532	23.5	0.0294123	-0.440632	0.354049	0.0271115
0.0423729	23.6	0.0292876	-0.440638	0.354046	0.0269869
0.0421941	23.7	0.029164	-0.440643	0.354042	0.0268633
0.0420168	23.8	0.0290415	-0.440648	0.354037	0.0267408
0.041841	23.9	0.0289201	-0.440653	0.354032	0.0266193
0.0416667	24	0.0287998	-0.440658	0.354027	0.0264988
0.0414938	24.1	0.0286805	-0.440663	0.354021	0.0263793
0.0413223	24.2	0.0285622	-0.440668	0.354014	0.0262608
0.0411523	24.3	0.028445	-0.440673	0.354007	0.0261432
0.0409836	24.4	0.0283288	-0.440678	0.353999	0.0260266
0.0408163	24.5	0.0282136	-0.440682	0.353991	0.025911
0.0406504	24.6	0.0280994	-0.440687	0.353982	0.0257963
0.0404858	24.7	0.0279862	-0.440692	0.353972	0.0256826
0.0403226	24.8	0.027874	-0.440696	0.353962	0.0255697
0.0401606	24.9	0.0277627	-0.440701	0.353951	0.0254578
0.04	25	0.0276524	-0.440705	0.35394	0.0253467
0.0398406	25.1	0.027543	-0.44071	0.353927	0.0252366
0.0396825	25.2	0.0274346	-0.440714	0.353915	0.0251273
0.0395257	25.3	0.0273271	-0.440718	0.353901	0.0250189
0.0393701	25.4	0.0272205	-0.440722	0.353887	0.0249113
0.0392157	25.5	0.0271147	-0.440727	0.353872	0.0248045
0.0390625	25.6	0.0270099	-0.440731	0.353856	0.0246986
0.0389105	25.7	0.026906	-0.440735	0.353839	0.0245935
0.0387597	25.8	0.0268029	-0.440739	0.353822	0.0244892
0.03861	25.9	0.0267007	-0.440743	0.353804	0.0243858
0.0384615	26	0.0265994	-0.440747	0.353785	0.0242831
0.0383142	26.1	0.0264989	-0.440751	0.353765	0.0241812
0.0381679	26.2	0.0263992	-0.440755	0.353744	0.02408
0.0380228	26.3	0.0263004	-0.440758	0.353723	0.0239796
0.0378788	26.4	0.0262023	-0.440762	0.353701	0.02388
0.0377358	26.5	0.0261051	-0.440766	0.353678	0.0237812
0.037594	26.6	0.0260087	-0.44077	0.353654	0.023683
0.0374532	26.7	0.0259131	-0.440773	0.353629	0.0235856
0.0373134	26.8	0.0258183	-0.440777	0.353603	0.0234889
0.0371747	26.9	0.0257242	-0.440781	0.353576	0.023393
0.037037	27	0.0256309	-0.440784	0.353548	0.0232977
0.0369004	27.1	0.0255384	-0.440788	0.353519	0.0232031
0.0367647	27.2	0.0254466	-0.440791	0.35349	0.0231092
0.03663	27.3	0.0253556	-0.440794	0.353459	0.023016
0.0364964	27.4	0.0252653	-0.440798	0.353427	0.0229235
0.0363636	27.5	0.0251758	-0.440801	0.353395	0.0228316
0.0362319	27.6	0.0250869	-0.440804	0.353361	0.0227404
0.0361011	27.7	0.0249988	-0.440808	0.353326	0.0226499
0.0359712	27.8	0.0249115	-0.440811	0.35329	0.0225599
0.0358423	27.9	0.0248248	-0.440814	0.353254	0.0224707
0.0357143	28	0.0247388	-0.440817	0.353216	0.022382
0.0355872	28.1	0.0246535	-0.440821	0.353177	0.022294
0.035461	28.2	0.0245689	-0.440824	0.353136	0.0222066
0.0353357	28.3	0.0244849	-0.440827	0.353095	0.0221197
0.0352113	28.4	0.0244017	-0.44083	0.353053	0.0220335
0.0350877	28.5	0.0243191	-0.440833	0.353009	0.0219479
0.034965	28.6	0.0242371	-0.440836	0.352965	0.0218629
0.0348432	28.7	0.0241558	-0.440839	0.352919	0.0217785
0.0347222	28.8	0.0240752	-0.440842	0.352872	0.0216946
0.0346021	28.9	0.0239952	-0.440844	0.352823	0.0216113
0.0344828	29	0.0239158	-0.440847	0.352774	0.0215286
0.0343643	29.1	0.0238371	-0.44085	0.352723	0.0214464
0.0342466	29.2	0.023759	-0.440853	0.352672	0.0213648
0.0341297	29.3	0.0236815	-0.440856	0.352619	0.0212837
0.0340136	29.4	0.0236047	-0.440858	0.352564	0.0212032
0.0338983	29.5	0.0235284	-0.440861	0.352509	0.0211231
0.0337838	29.6	0.0234527	-0.440864	0.352452	0.0210437
0.03367	29.7	0.0233777	-0.440867	0.352394	0.0209647
0.033557	29.8	0.0233032	-0.440869	0.352334	0.0208863
0.0334448	29.9	0.0232293	-0.440872	0.352273	0.0208084
0.0333333	30	0.023156	-0.440874	0.352211	0.0207309
0.0332226	30.1	0.0230833	-0.440877	0.352148	0.020654
0.0331126	30.2	0.0230111	-0.440879	0.352083	0.0205776
0.0330033	30.3	0.0229395	-0.440882	0.352017	0.0205017
0.0328947	30.4	0.0228685	-0.440884	0.35195	0.0204262
0.0327869	30.5	0.022798	-0.440887	0.351881	0.0203513
0.0326797	30.6	0.0227281	-0.440889	0.351811	0.0202768
0.0325733	30.7	0.0226588	-0.440892	0.351739	0.0202028
0.0324675	30.8	0.0225899	-0.440894	0.351666	0.0201292
0.0323625	30.9	0.0225216	-0.440897	0.351592	0.0200561
0.0322581	31	0.0224539	-0.440899	0.351516	0.0199835
0.0321543	31.1	0.0223867	-0.440901	0.351439	0.0199113
0.0320513	31.2	0.02232	-0.440904	0.35136	0.0198396
0.0319489	31.3	0.0222538	-0.440906	0.35128	0.0197683
0.0318471	31.4	0.0221881	-0.440908	0.351198	0.0196974
0.031746	31.5	0.022123	-0.44091	0.351115	0.019627
0.0316456	31.6	0.0220584	-0.440913	0.351031	0.019557
0.0315457	31.7	0.0219942	-0.440915	0.350945	0.0194874
0.0314465	31.8	0.0219306	-0.440917	0.350857	0.0194183
0.031348	31.9	0.0218674	-0.440919	0.350768	0.0193496
0.03125	32	0.0218048	-0.440921	0.350678	0.0192813
0.0311526	32.1	0.0217426	-0.440923	0.350586	0.0192133
0.0310559	32.2	0.021681	-0.440925	0.350492	0.0191458
0.0309598	32.3	0.0216198	-0.440928	0.350397	0.0190787
0.0308642	32.4	0.021559	-0.44093	0.350301	0.019012
0.0307692	32.5	0.0214988	-0.440932	0.350203	0.0189457
0.0306748	32.6	0.021439	-0.440934	0.350103	0.0188798
0.030581	32.7	0.0213797	-0.440936	0.350002	0.0188143
0.0304878	32.8	0.0213208	-0.440938	0.349899	0.0187491
0.0303951	32.9	0.0212625	-0.44094	0.349794	0.0186843
0.030303	33	0.0212045	-0.440942	0.349688	0.0186199
0.0302115	33.1	0.021147	-0.440943	0.349581	0.0185559
0.0301205	33.2	0.02109	-0.440945	0.349472	0.0184922
0.03003	33.3	0.0210334	-0.440947	0.349361	0.0184289
0.0299401	33.4	0.0209772	-0.440949	0.349248	0.018366
0.0298507	33.5	0.0209215	-0.440951	0.349134	0.0183034
0.0297619	33.6	0.0208662	-0.440953	0.349019	0.0182412
0.0296736	33.7	0.0208113	-0.440955	0.348901	0.0181793
0.0295858	33.8	0.0207569	-0.440957	0.348782	0.0181177
0.0294985	33.9	0.0207028	-0.440958	0.348662	0.0180565
0.0294118	34	0.0206492	-0.44096	0.34854	0.0179957
0.0293255	34.1	0.020596	-0.440962	0.348416	0.0179352
0.0292398	34.2	0.0205433	-0.440964	0.34829	0.017875
0.0291545	34.3	0.0204909	-0.440965	0.348163	0.0178151
0.0290698	34.4	0.020439	-0.440967	0.348034	0.0177556
0.0289855	34.5	0.0203874	-0.440969	0.347904	0.0176964
0.0289017	34.6	0.0203362	-0.440971	0.347771	0.0176375
0.0288184	34.7	0.0202855	-0.440972	0.347637	0.0175789
0.0287356	34.8	0.0202351	-0.440974	0.347502	0.0175207
0.0286533	34.9	0.0201851	-0.440976	0.347365	0.0174627
0.0285714	35	0.0201355	-0.440977	0.347226	0.0174051
0.02849	35.1	0.0200863	-0.440979	0.347085	0.0173478
0.0284091	35.2	0.0200375	-0.440981	0.346942	0.0172908
0.0283286	35.3	0.0199891	-0.440982	0.346798	0.017234
0.0282486	35.4	0.019941	-0.440984	0.346652	0.0171776
0.028169	35.5	0.0198933	-0.440985	0.346505	0.0171215
0.0280899	35.6	0.019846	-0.440987	0.346356	0.0170657
0.0280112	35.7	0.019799	-0.440988	0.346205	0.0170101
0.027933	35.8	0.0197524	-0.44099	0.346052	0.0169549
0.0278552	35.9	0.0197062	-0.440992	0.345897	0.0168999
0.0277778	36	0.0196603	-0.440993	0.345741	0.0168452
0.0277008	36.1	0.0196148	-0.440995	0.345583	0.0167908
0.0276243	36.2	0.0195696	-0.440996	0.345424	0.0167367
0.0275482	36.3	0.0195248	-0.440998	0.345262	0.0166828
0.0274725	36.4	0.0194803	-0.440999	0.345099	0.0166292
0.0273973	36.5	0.0194362	-0.441001	0.344934	0.0165759
0.0273224	36.6	0.0193924	-0.441002	0.344768	0.0165229
0.027248	36.7	0.019349	-0.441003	0.344599	0.0164701
0.0271739	36.8	0.0193059	-0.441005	0.344429	0.0164176
0.0271003	36.9	0.0192631	-0.441006	0.344257	0.0163653
0.027027	37	0.0192206	-0.441008	0.344083	0.0163133
0.0269542	37.1	0.0191785	-0.441009	0.343908	0.0162616
0.0268817	37.2	0.0191367	-0.44101	0.343731	0.0162101
0.0268097	37.3	0.0190953	-0.441012	0.343552	0.0161588
0.026738	37.4	0.0190541	-0.441013	0.343371	0.0161078
0.0266667	37.5	0.0190133	-0.441015	0.343189	0.0160571
0.0265957	37.6	0.0189728	-0.441016	0.343004	0.0160066
0.0265252	37.7	0.0189326	-0.441017	0.342818	0.0159563
0.026455	37.8	0.0188927	-0.441019	0.342631	0.0159063
0.0263852	37.9	0.0188531	-0.44102	0.342441	0.0158565
0.0263158	38	0.0188138	-0.441021	0.34225	0.015807
0.0262467	38.1	0.0187749	-0.441022	0.342057	0.0157577
0.026178	38.2	0.0187362	-0.441024	0.341862	0.0157086
0.0261097	38.3	0.0186978	-0.441025	0.341665	0.0156598
0.0260417	38.4	0.0186598	-0.441026	0.341467	0.0156112
0.025974	38.5	0.018622	-0.441028	0.341267	0.0155628
0.0259067	38.6	0.0185845	-0.441029	0.341065	0.0155146
0.0258398	38.7	0.0185473	-0.44103	0.340861	0.0154667
0.0257732	38.8	0.0185104	-0.441031	0.340655	0.015419
0.0257069	38.9	0.0184738	-0.441032	0.340448	0.0153715
0.025641	39	0.0184375	-0.441034	0.340239	0.0153242
0.0255754	39.1	0.0184014	-0.441035	0.340028	0.0152771
0.0255102	39.2	0.0183656	-0.441036	0.339816	0.0152303
0.0254453	39.3	0.0183301	-0.441037	0.339602	0.0151836
0.0253807	39.4	0.0182949	-0.441038	0.339386	0.0151372
0.0253165	39.5	0.0182599	-0.44104	0.339168	0.015091
0.0252525	39.6	0.0182252	-0.441041	0.338948	0.015045
0.0251889	39.7	0.0181908	-0.441042	0.338727	0.0149992
0.0251256	39.8	0.0181567	-0.441043	0.338504	0.0149535
0.0250627	39.9	0.0181228	-0.441044	0.338279	0.0149081
0.025	40	0.0180891	-0.441045	0.338052	0.0148629
0.0249377	40.1	0.0180558	-0.441047	0.337824	0.0148179
0.0248756	40.2	0.0180227	-0.441048	0.337594	0.0147731
0.0248139	40.3	0.0179898	-0.441049	0.337362	0.0147285
0.0247525	40.4	0.0179572	-0.44105	0.337129	0.0146841
0.0246914	40.5	0.0179248	-0.441051	0.336893	0.0146399
0.0246305	40.6	0.0178927	-0.441052	0.336656	0.0145958
0.02457	40.7	0.0178609	-0.441053	0.336417	0.014552
0.0245098	40.8	0.0178293	-0.441054	0.336177	0.0145083
0.0244499	40.9	0.0177979	-0.441055	0.335935	0.0144648
0.0243902	41	0.0177668	-0.441056	0.335691	0.0144215
0.0243309	41.1	0.0177359	-0.441057	0.335445	0.0143784
0.0242718	41.2	0.0177052	-0.441058	0.335197	0.0143355
0.0242131	41.3	0.0176748	-0.441059	0.334948	0.0142928
0.0241546	41.4	0.0176446	-0.44106	0.334697	0.0142502
0.0240964	41.5	0.0176146	-0.441061	0.334445	0.0142078
0.0240385	41.6	0.0175849	-0.441062	0.33419	0.0141656
0.0239808	41.7	0.0175554	-0.441063	0.333934	0.0141235
0.0239234	41.8	0.0175261	-0.441065	0.333677	0.0140817
0.0238663	41.9	0.0174971	-0.441065	0.333417	0.01404
0.0238095	42	0.0174682	-0.441066	0.333156	0.0139985
