Temperature,  F    <E>     <E^2>    Cv    Chi    entropy
0.454091   -7.699348   -249444511.965011    2706300705.139140    2.761302   0.947821     -549327173.707477
0.503548   -7.327160   -22123278.060496    236296496.882209    3.285391   1.103512     -43934786.238889
0.558391   -6.995183   -2881539.722378    30426178.245037    3.704556   1.115918     -5160416.806315
0.619208   -6.653315   -474445.840217    4924176.420444    4.049861   1.160909     -766202.947338
0.686649   -6.253041   -89180.646499    900599.368808    4.316983   1.208826     -129868.992145
0.761435   -5.857946   -20947.235994    205843.125324    4.570641   1.305710     -27502.527271
0.844366   -5.512004   -6325.894516    60761.321990    4.630932   1.265187     -7485.361007
0.936329   -5.095202   -2020.132422    18598.764301    4.542647   1.362468     -2152.060622
1.038309   -4.717656   -780.099897    6915.952560    4.379032   1.395462     -746.774224
1.151395   -4.369134   -348.015968    2962.981966    4.054496   1.396116     -298.461184
1.276799   -4.022657   -171.782128    1407.776691    3.782555   1.389946     -131.390692
1.415860   -3.675320   -91.675189    718.933964    3.426624   1.398380     -62.152931
1.570068   -3.358500   -53.807653    404.628875    3.041802   1.384362     -32.131834
1.741070   -3.059796   -33.879044    244.962730    2.673359   1.362848     -17.701323
1.930698   -2.784170   -22.778766    159.711653    2.348732   1.324385     -10.356150
2.140978   -2.531571   -16.122265    109.863412    2.018732   1.280441     -6.347890
2.374161   -2.290583   -11.819632    78.621942    1.716224   1.233824     -4.013649
2.632741   -2.071833   -8.996558    58.813328    1.442786   1.183590     -2.630234
2.919484   -1.867350   -7.040412    45.634298    1.206057   1.130402     -1.771909
3.237458   -1.688604   -5.661927    36.608783    0.995620   1.066698     -1.227297
3.590063   -1.516742   -4.632835    30.321222    0.826554   1.005735     -0.867977
3.981072   -1.373981   -3.880982    25.866280    0.679154   0.941942     -0.629730
