# time     return_probability   rate_function_ED
1.60  0.84357985  0.02835012 
1.62  0.85522944  0.02606425 
1.64  0.86406030  0.02435212 
1.66  0.87003204  0.02320421 
1.68  0.87313585  0.02261069 
1.70  0.87339406  0.02256141 
1.72  0.87085901  0.02304586 
1.74  0.86561146  0.02405319 
1.76  0.85775848  0.02557212 
1.78  0.84743090  0.02759100 
1.80  0.83478051  0.03009774 
1.82  0.81997686  0.03307986 
1.84  0.80320400  0.03652442 
1.86  0.78465708  0.04041808 
1.88  0.76453887  0.04474707 
1.90  0.74305651  0.04949720 
1.92  0.72041818  0.05465390 
1.94  0.69683020  0.06020225 
1.96  0.67249421  0.06612696 
1.98  0.64760474  0.07241246 
2.00  0.62234713  0.07904288 
2.02  0.59689579  0.08600212 
2.04  0.57141286  0.09327388 
2.06  0.54604724  0.10084163 
2.08  0.52093404  0.10868864 
2.10  0.49619426  0.11679796 
2.12  0.47193493  0.12515236 
2.14  0.44824936  0.13373427 
2.16  0.42521765  0.14252569 
2.18  0.40290723  0.15150816 
2.20  0.38137346  0.16066269 
2.22  0.36066015  0.16996986 
2.24  0.34079980  0.17941001 
2.26  0.32181379  0.18896370 
2.28  0.30371211  0.19861251 
2.30  0.28649295  0.20834023 
2.32  0.27014201  0.21813458 
2.34  0.25463176  0.22798948 
2.36  0.23992070  0.23790781 
2.38  0.22595297  0.24790473 
2.40  0.21265854  0.25801125 
2.42  0.19995401  0.26827798 
2.44  0.18774458  0.27877881 
2.46  0.17592693  0.28961443 
2.48  0.16439338  0.30091551 
2.50  0.15303721  0.31284569 
2.52  0.14175928  0.32560415 
2.54  0.13047632  0.33942726 
2.56  0.11913184  0.35458742 
2.58  0.10771162  0.37138296 
2.60  0.09626801  0.39010319 
2.62  0.08496149  0.41092621 
2.64  0.07413490  0.43364481 
2.66  0.06444130  0.45700009 
2.68  0.05701300  0.47741267 
2.70  0.05346636  0.48811709 
2.72  0.05524116  0.48267450 
2.74  0.06250220  0.46209226 
2.76  0.07417073  0.43356428 
2.78  0.08895020  0.40327978 
2.80  0.10588507  0.37423351 
2.82  0.12436606  0.34742099 
2.84  0.14400630  0.32298304 
2.86  0.16454609  0.30076076 
2.88  0.18579714  0.28051664 
2.90  0.20761159  0.26201439 
2.92  0.22986477  0.24504402 
2.94  0.25244528  0.22942679 
2.96  0.27524906  0.21501315 
2.98  0.29817572  0.20167871 
3.00  0.32112635  0.18932010 
3.02  0.34400209  0.17785126 
3.04  0.36670343  0.16720031 
3.06  0.38912999  0.15730697 
3.08  0.41118064  0.14812044 
3.10  0.43275397  0.13959765 
3.12  0.45374907  0.13170182 
3.14  0.47406645  0.12440130 
3.16  0.49360919  0.11766853 
3.18  0.51228414  0.11147931 
3.20  0.53000316  0.10581205 
3.22  0.54668439  0.10064727 
3.24  0.56225345  0.09596709 
3.26  0.57664445  0.09175490 
3.28  0.58980094  0.08799503 
3.30  0.60167663  0.08467252 
3.32  0.61223591  0.08177293 
3.34  0.62145408  0.07928221 
3.36  0.62931745  0.07718658 
3.38  0.63582308  0.07547249 
3.40  0.64097840  0.07412659 
3.42  0.64480049  0.07313572 
3.44  0.64731527  0.07248697 
3.46  0.64855647  0.07216770 
3.48  0.64856445  0.07216565 
3.50  0.64738496  0.07246903 
3.52  0.64506793  0.07306661 
3.54  0.64166611  0.07394786 
3.56  0.63723400  0.07510306 
3.58  0.63182677  0.07652334 
3.60  0.62549944  0.07820081 
3.62  0.61830635  0.08012854 
3.64  0.61030087  0.08230054 
3.66  0.60153542  0.08471164 
3.68  0.59206191  0.08735735 
3.70  0.58193234  0.09023352 
3.72  0.57119975  0.09333605 
3.74  0.55991928  0.09666044 
3.76  0.54814934  0.10020125 
3.78  0.53595263  0.10395158 
3.80  0.52339703  0.10790250 
3.82  0.51055605  0.11204248 
3.84  0.49750883  0.11635699 
3.86  0.48433939  0.12082823 
3.88  0.47113516  0.12543504 
3.90  0.45798465  0.13015327 
3.92  0.44497433  0.13495645 
3.94  0.43218471  0.13981704 
3.96  0.41968595  0.14470810 
3.98  0.40753318  0.14960549 
4.00  0.39576199  0.15449038 
4.02  0.38438459  0.15935195 
4.04  0.37338700  0.16418998 
4.06  0.36272782  0.16901709 
4.08  0.35233880  0.17386035 
4.10  0.34212729  0.17876207 
4.12  0.33198055  0.18377982 
4.14  0.32177137  0.18898567 
4.16  0.31136489  0.19446496 
4.18  0.30062567  0.20031490 
4.20  0.28942484  0.20664327 
4.22  0.27764668  0.21356765 
4.24  0.26519448  0.22121530 
4.26  0.25199543  0.22972405 
4.28  0.23800472  0.23924413 
4.30  0.22320901  0.24994111 
4.32  0.20762981  0.26199976 
4.34  0.19132756  0.27562806 
4.36  0.17440785  0.29105980 
4.38  0.15703228  0.30855065 
4.40  0.13943866  0.32835508 
4.42  0.12197917  0.35065082 
4.44  0.10519236  0.37532744 
4.46  0.08993130  0.40145154 
4.48  0.07754532  0.42614878 
4.50  0.06993348  0.44336846 
4.52  0.06890399  0.44584019 
4.54  0.07477892  0.43220320 
4.56  0.08608700  0.40873281 
4.58  0.10087225  0.38231674 
4.60  0.11764160  0.35668543 
4.62  0.13544950  0.33319274 
4.64  0.15371938  0.31210442 
4.66  0.17209339  0.29328633 
4.68  0.19034282  0.27648809 
4.70  0.20831845  0.26144789 
4.72  0.22592267  0.24792708 
4.74  0.24309317  0.23571841 
4.76  0.25979285  0.22464512 
4.78  0.27600304  0.21455723 
4.80  0.29171881  0.20532749 
4.82  0.30694525  0.19684765 
4.84  0.32169464  0.18902542 
4.86  0.33598406  0.18178193 
4.88  0.34983338  0.17504971 
4.90  0.36326358  0.16877110 
4.92  0.37629521  0.16289688 
4.94  0.38894724  0.15738526 
4.96  0.40123588  0.15220096 
4.98  0.41317371  0.14731453 
5.00  0.42476884  0.14270170 
