#T	β	c	e	chiz	chic	s
0.0735294	13.6	0.00784912	-1.71907	7.53076e-06	4.07563e-06	0.0321504
0.0729927	13.7	0.00768792	-1.71907	6.914e-06	3.71912e-06	0.0320936
0.0724638	13.8	0.00753013	-1.71908	6.34771e-06	3.39377e-06	0.0320385
0.0719424	13.9	0.00737568	-1.71908	5.82782e-06	3.09705e-06	0.0319848
0.0714286	14	0.00722446	-1.71909	5.3505e-06	2.82629e-06	0.0319327
0.070922	14.1	0.00707641	-1.71909	4.91224e-06	2.57919e-06	0.031882
0.0704225	14.2	0.00693145	-1.71909	4.50986e-06	2.35369e-06	0.0318327
0.0699301	14.3	0.0067895	-1.7191	4.14042e-06	2.1479e-06	0.0317848
0.0694444	14.4	0.00665049	-1.7191	3.80122e-06	1.9601e-06	0.0317381
0.0689655	14.5	0.00651436	-1.7191	3.48981e-06	1.78872e-06	0.0316928
0.0684932	14.6	0.00638104	-1.71911	3.2039e-06	1.63233e-06	0.0316487
0.0680272	14.7	0.00625046	-1.71911	2.94141e-06	1.48962e-06	0.0316058
0.0675676	14.8	0.00612258	-1.71911	2.70042e-06	1.3594e-06	0.0315641
0.0671141	14.9	0.00599732	-1.71911	2.47918e-06	1.24057e-06	0.0315235
0.0666667	15	0.00587463	-1.71912	2.27606e-06	1.13214e-06	0.031484
0.0662252	15.1	0.00575445	-1.71912	2.08959e-06	1.0332e-06	0.0314456
0.0657895	15.2	0.00563674	-1.71912	1.91841e-06	9.42927e-07	0.0314082
0.0653595	15.3	0.00552143	-1.71912	1.76125e-06	8.60558e-07	0.0313719
0.0649351	15.4	0.00540849	-1.71913	1.61698e-06	7.85405e-07	0.0313365
0.0645161	15.5	0.00529785	-1.71913	1.48454e-06	7.16836e-07	0.0313021
0.0641026	15.6	0.00518948	-1.71913	1.36296e-06	6.54277e-07	0.0312686
0.0636943	15.7	0.00508332	-1.71913	1.25135e-06	5.97203e-07	0.0312361
0.0632911	15.8	0.00497934	-1.71914	1.1489e-06	5.45134e-07	0.0312044
0.0628931	15.9	0.00487748	-1.71914	1.05485e-06	4.97634e-07	0.0311735
0.0625	16	0.00477771	-1.71914	9.68518e-07	4.54302e-07	0.0311435
0.0621118	16.1	0.00467999	-1.71914	8.89274e-07	4.14775e-07	0.0311143
0.0617284	16.2	0.00458426	-1.71914	8.16535e-07	3.78721e-07	0.0310859
0.0613497	16.3	0.0044905	-1.71914	7.4977e-07	3.45836e-07	0.0310583
0.0609756	16.4	0.00439867	-1.71915	6.8849e-07	3.15845e-07	0.0310314
0.0606061	16.5	0.00430872	-1.71915	6.32245e-07	2.88494e-07	0.0310052
0.060241	16.6	0.00422063	-1.71915	5.80623e-07	2.63554e-07	0.0309797
0.0598802	16.7	0.00413434	-1.71915	5.33248e-07	2.40816e-07	0.0309549
0.0595238	16.8	0.00404984	-1.71915	4.89771e-07	2.20088e-07	0.0309307
0.0591716	16.9	0.00396708	-1.71915	4.49874e-07	2.01196e-07	0.0309072
0.0588235	17	0.00388603	-1.71916	4.13264e-07	1.83981e-07	0.0308844
0.0584795	17.1	0.00380666	-1.71916	3.79672e-07	1.68298e-07	0.0308621
0.0581395	17.2	0.00372893	-1.71916	3.48854e-07	1.54014e-07	0.0308404
0.0578035	17.3	0.00365282	-1.71916	3.2058e-07	1.41008e-07	0.0308193
0.0574713	17.4	0.00357828	-1.71916	2.94644e-07	1.29169e-07	0.0307988
0.0571429	17.5	0.0035053	-1.71916	2.70855e-07	1.18396e-07	0.0307788
0.0568182	17.6	0.00343383	-1.71916	2.49036e-07	1.08596e-07	0.0307594
0.0564972	17.7	0.00336386	-1.71916	2.29025e-07	9.96822e-08	0.0307405
0.0561798	17.8	0.00329535	-1.71916	2.10673e-07	9.15754e-08	0.030722
0.0558659	17.9	0.00322828	-1.71917	1.93843e-07	8.42018e-08	0.0307041
