#T	β	c	e	chiz	chic	s
0.0442478	22.6	0.0305869	-0.440581	0.11802	0.107196	0.0282829
0.0440529	22.7	0.0304516	-0.440587	0.11802	0.107118	0.0281481
0.0438596	22.8	0.0303175	-0.440593	0.11802	0.10704	0.0280146
0.0436681	22.9	0.0301846	-0.440599	0.11802	0.106962	0.0278822
0.0434783	23	0.0300529	-0.440605	0.11802	0.106883	0.027751
0.04329	23.1	0.0299225	-0.44061	0.118019	0.106804	0.0276209
0.0431034	23.2	0.0297932	-0.440616	0.118019	0.106725	0.0274919
0.0429185	23.3	0.0296651	-0.440622	0.118018	0.106646	0.027364
0.042735	23.4	0.0295381	-0.440627	0.118017	0.106567	0.0272372
0.0425532	23.5	0.0294123	-0.440632	0.118016	0.106487	0.0271116
0.0423729	23.6	0.0292876	-0.440638	0.118015	0.106408	0.0269869
0.0421941	23.7	0.029164	-0.440643	0.118014	0.106328	0.0268634
0.0420168	23.8	0.0290415	-0.440648	0.118012	0.106248	0.0267408
0.041841	23.9	0.02892	-0.440653	0.11801	0.106168	0.0266193
0.0416667	24	0.0287997	-0.440658	0.118009	0.106087	0.0264988
0.0414938	24.1	0.0286804	-0.440663	0.118007	0.106007	0.0263793
0.0413223	24.2	0.0285621	-0.440668	0.118004	0.105926	0.0262608
0.0411523	24.3	0.0284449	-0.440673	0.118002	0.105846	0.0261433
0.0409836	24.4	0.0283287	-0.440678	0.117999	0.105765	0.0260267
0.0408163	24.5	0.0282135	-0.440682	0.117997	0.105684	0.0259111
0.0406504	24.6	0.0280993	-0.440687	0.117994	0.105602	0.0257964
0.0404858	24.7	0.0279861	-0.440692	0.11799	0.105521	0.0256826
0.0403226	24.8	0.0278739	-0.440696	0.117987	0.105439	0.0255698
0.0401606	24.9	0.0277626	-0.440701	0.117983	0.105358	0.0254578
0.04	25	0.0276523	-0.440705	0.11798	0.105276	0.0253468
0.0398406	25.1	0.027543	-0.44071	0.117975	0.105194	0.0252366
0.0396825	25.2	0.0274345	-0.440714	0.117971	0.105112	0.0251273
0.0395257	25.3	0.027327	-0.440718	0.117967	0.10503	0.0250189
0.0393701	25.4	0.0272204	-0.440722	0.117962	0.104948	0.0249113
0.0392157	25.5	0.0271147	-0.440727	0.117957	0.104865	0.0248046
0.0390625	25.6	0.0270099	-0.440731	0.117952	0.104783	0.0246987
0.0389105	25.7	0.0269059	-0.440735	0.117946	0.1047	0.0245936
0.0387597	25.8	0.0268029	-0.440739	0.11794	0.104617	0.0244893
0.03861	25.9	0.0267007	-0.440743	0.117934	0.104535	0.0243858
0.0384615	26	0.0265993	-0.440747	0.117928	0.104452	0.0242831
0.0383142	26.1	0.0264988	-0.440751	0.117921	0.104368	0.0241812
0.0381679	26.2	0.0263991	-0.440755	0.117914	0.104285	0.0240801
0.0380228	26.3	0.0263003	-0.440758	0.117907	0.104202	0.0239797
0.0378788	26.4	0.0262023	-0.440762	0.1179	0.104118	0.0238801
0.0377358	26.5	0.0261051	-0.440766	0.117892	0.104035	0.0237812
0.037594	26.6	0.0260086	-0.44077	0.117884	0.103951	0.0236831
0.0374532	26.7	0.025913	-0.440773	0.117876	0.103868	0.0235857
0.0373134	26.8	0.0258182	-0.440777	0.117867	0.103784	0.023489
0.0371747	26.9	0.0257241	-0.440781	0.117858	0.1037	0.023393
0.037037	27	0.0256309	-0.440784	0.117849	0.103616	0.0232977
0.0369004	27.1	0.0255383	-0.440788	0.117839	0.103532	0.0232032
0.0367647	27.2	0.0254466	-0.440791	0.11783	0.103447	0.0231093
0.03663	27.3	0.0253555	-0.440794	0.117819	0.103363	0.0230161
0.0364964	27.4	0.0252653	-0.440798	0.117809	0.103279	0.0229236
0.0363636	27.5	0.0251757	-0.440801	0.117798	0.103194	0.0228317
0.0362319	27.6	0.0250869	-0.440805	0.117787	0.103109	0.0227405
0.0361011	27.7	0.0249988	-0.440808	0.117775	0.103025	0.0226499
0.0359712	27.8	0.0249114	-0.440811	0.117763	0.10294	0.02256
0.0358423	27.9	0.0248247	-0.440814	0.117751	0.102855	0.0224707
0.0357143	28	0.0247387	-0.440817	0.117738	0.10277	0.0223821
0.0355872	28.1	0.0246534	-0.440821	0.117725	0.102685	0.022294
0.035461	28.2	0.0245688	-0.440824	0.117712	0.1026	0.0222066
0.0353357	28.3	0.0244849	-0.440827	0.117698	0.102514	0.0221198
0.0352113	28.4	0.0244016	-0.44083	0.117684	0.102429	0.0220336
0.0350877	28.5	0.024319	-0.440833	0.117669	0.102344	0.021948
0.034965	28.6	0.0242371	-0.440836	0.117654	0.102258	0.021863
0.0348432	28.7	0.0241558	-0.440839	0.117639	0.102172	0.0217785
0.0347222	28.8	0.0240751	-0.440842	0.117624	0.102087	0.0216947
