#T	β	c	e	chiz	chic	s
0.102041	9.8	0.0727655	-0.687617	0.118885	0.114894	0.0687276
0.10101	9.9	0.071966	-0.687691	0.118851	0.114835	0.0679929
0.1	10	0.0711847	-0.687764	0.118818	0.114777	0.0672736
0.0990099	10.1	0.070421	-0.687834	0.118786	0.11472	0.0665691
0.0980392	10.2	0.0696744	-0.687902	0.118755	0.114663	0.065879
0.0970874	10.3	0.0689442	-0.687968	0.118725	0.114608	0.0652028
0.0961538	10.4	0.0682299	-0.688032	0.118696	0.114553	0.0645401
0.0952381	10.5	0.0675308	-0.688094	0.118668	0.114499	0.0638905
0.0943396	10.6	0.0668466	-0.688154	0.11864	0.114445	0.0632537
0.0934579	10.7	0.0661767	-0.688213	0.118614	0.114392	0.0626291
0.0925926	10.8	0.0655207	-0.68827	0.118589	0.11434	0.0620166
0.0917431	10.9	0.0648781	-0.688325	0.118564	0.114288	0.0614157
0.0909091	11	0.0642485	-0.688379	0.11854	0.114236	0.0608261
0.0900901	11.1	0.0636315	-0.688432	0.118517	0.114185	0.0602474
0.0892857	11.2	0.0630267	-0.688483	0.118495	0.114135	0.0596794
0.0884956	11.3	0.0624337	-0.688532	0.118473	0.114084	0.0591218
0.0877193	11.4	0.0618522	-0.68858	0.118453	0.114034	0.0585743
0.0869565	11.5	0.0612818	-0.688627	0.118432	0.113985	0.0580366
0.0862069	11.6	0.0607222	-0.688673	0.118413	0.113936	0.0575085
0.0854701	11.7	0.0601731	-0.688718	0.118394	0.113886	0.0569896
0.0847458	11.8	0.0596342	-0.688761	0.118376	0.113838	0.0564798
0.0840336	11.9	0.0591051	-0.688803	0.118358	0.113789	0.0559788
0.0833333	12	0.0585857	-0.688844	0.118341	0.11374	0.0554864
0.0826446	12.1	0.0580757	-0.688885	0.118325	0.113692	0.0550023
0.0819672	12.2	0.0575747	-0.688924	0.118309	0.113644	0.0545264
0.0813008	12.3	0.0570825	-0.688962	0.118293	0.113596	0.0540584
0.0806452	12.4	0.056599	-0.688999	0.118278	0.113547	0.0535981
0.08	12.5	0.0561238	-0.689036	0.118264	0.113499	0.0531454
0.0793651	12.6	0.0556568	-0.689071	0.11825	0.113451	0.0527001
0.0787402	12.7	0.0551977	-0.689106	0.118237	0.113403	0.0522619
0.078125	12.8	0.0547463	-0.68914	0.118224	0.113355	0.0518308
0.0775194	12.9	0.0543025	-0.689173	0.118211	0.113307	0.0514065
0.0769231	13	0.053866	-0.689205	0.118199	0.113259	0.0509888
0.0763359	13.1	0.0534366	-0.689236	0.118188	0.113211	0.0505777
0.0757576	13.2	0.0530142	-0.689267	0.118177	0.113162	0.0501729
0.075188	13.3	0.0525987	-0.689297	0.118166	0.113114	0.0497744
0.0746269	13.4	0.0521897	-0.689327	0.118155	0.113065	0.0493819
0.0740741	13.5	0.0517872	-0.689355	0.118146	0.113017	0.0489954
0.0735294	13.6	0.0513911	-0.689383	0.118136	0.112968	0.0486147
0.0729927	13.7	0.0510011	-0.689411	0.118127	0.112919	0.0482396
0.0724638	13.8	0.0506171	-0.689438	0.118118	0.112869	0.0478701
0.0719424	13.9	0.0502391	-0.689464	0.118109	0.11282	0.047506
0.0714286	14	0.0498667	-0.68949	0.118101	0.11277	0.0471472
0.070922	14.1	0.0495	-0.689515	0.118093	0.11272	0.0467936
0.0704225	14.2	0.0491387	-0.68954	0.118086	0.11267	0.046445
0.0699301	14.3	0.0487828	-0.689564	0.118079	0.11262	0.0461014
0.0694444	14.4	0.0484322	-0.689587	0.118072	0.112569	0.0457627
0.0689655	14.5	0.0480866	-0.68961	0.118065	0.112518	0.0454287
0.0684932	14.6	0.0477461	-0.689633	0.118059	0.112467	0.0450994
0.0680272	14.7	0.0474104	-0.689655	0.118053	0.112415	0.0447747
0.0675676	14.8	0.0470796	-0.689677	0.118047	0.112363	0.0444543
0.0671141	14.9	0.0467534	-0.689698	0.118042	0.112311	0.0441384
0.0666667	15	0.0464318	-0.689719	0.118036	0.112259	0.0438268
0.0662252	15.1	0.0461147	-0.68974	0.118032	0.112206	0.0435193
0.0657895	15.2	0.045802	-0.68976	0.118027	0.112153	0.0432159
0.0653595	15.3	0.0454936	-0.689779	0.118022	0.112099	0.0429166
0.0649351	15.4	0.0451894	-0.689798	0.118018	0.112046	0.0426212
0.0645161	15.5	0.0448893	-0.689817	0.118014	0.111991	0.0423297
0.0641026	15.6	0.0445933	-0.689836	0.118011	0.111937	0.042042
0.0636943	15.7	0.0443012	-0.689854	0.118007	0.111882	0.041758
0.0632911	15.8	0.044013	-0.689872	0.118004	0.111827	0.0414776
0.0628931	15.9	0.0437286	-0.689889	0.118001	0.111771	0.0412008
0.0625	16	0.0434479	-0.689906	0.117998	0.111715	0.0409275
0.0621118	16.1	0.0431708	-0.689923	0.117995	0.111659	0.0406577
0.0617284	16.2	0.0428974	-0.68994	0.117993	0.111602	0.0403912
