#T	β	c	e	chiz	chic	s
0.0518135	19.3	1.61633e-06	-2.14215	1.2574e-09	6.4485e-11	0.030087
0.0515464	19.4	1.56516e-06	-2.14215	1.1388e-09	6.18526e-11	0.030087
0.0512821	19.5	1.51769e-06	-2.14215	1.03148e-09	5.87427e-11	0.030087
0.0510204	19.6	1.47503e-06	-2.14215	9.34368e-10	5.62906e-11	0.030087
0.0507614	19.7	1.43536e-06	-2.14215	8.46506e-10	5.37135e-11	0.030087
0.0505051	19.8	1.40022e-06	-2.14215	7.67007e-10	5.15649e-11	0.030087
0.0502513	19.9	1.36748e-06	-2.14215	6.95076e-10	4.94739e-11	0.030087
0.05	20	1.33841e-06	-2.14215	6.29995e-10	4.69957e-11	0.030087
0.0497512	20.1	1.31222e-06	-2.14215	5.71113e-10	4.49284e-11	0.030087
0.049505	20.2	1.28774e-06	-2.14215	5.17836e-10	4.2978e-11	0.030087
0.0492611	20.3	1.26611e-06	-2.14215	4.69632e-10	4.06962e-11	0.0300869
0.0490196	20.4	1.2468e-06	-2.14215	4.26019e-10	3.87933e-11	0.0300869
0.0487805	20.5	1.2298e-06	-2.14215	3.86557e-10	3.69363e-11	0.0300869
0.0485437	20.6	1.21368e-06	-2.14215	3.50854e-10	3.52747e-11	0.0300869
0.0483092	20.7	1.20068e-06	-2.14215	3.18548e-10	3.35094e-11	0.0300869
0.0480769	20.8	1.18846e-06	-2.14215	2.8932e-10	3.16675e-11	0.0300869
0.0478469	20.9	1.17827e-06	-2.14215	2.62872e-10	3.01323e-11	0.0300869
0.047619	21	1.16906e-06	-2.14215	2.38943e-10	2.86324e-11	0.0300869
0.0473934	21.1	1.1613e-06	-2.14215	2.17292e-10	2.699e-11	0.0300869
0.0471698	21.2	1.15497e-06	-2.14215	1.97699e-10	2.55711e-11	0.0300869
0.0469484	21.3	1.1501e-06	-2.14215	1.79973e-10	2.39602e-11	0.0300869
0.046729	21.4	1.14597e-06	-2.14215	1.63935e-10	2.24276e-11	0.0300869
0.0465116	21.5	1.14246e-06	-2.14215	1.49423e-10	2.11731e-11	0.0300869
0.0462963	21.6	1.14014e-06	-2.14215	1.36298e-10	1.95226e-11	0.0300869
0.0460829	21.7	1.13839e-06	-2.14215	1.24421e-10	1.85282e-11	0.0300869
0.0458716	21.8	1.1383e-06	-2.14215	1.13678e-10	1.68483e-11	0.0300869
0.0456621	21.9	1.13782e-06	-2.14215	1.03963e-10	1.55875e-11	0.0300869
0.0454545	22	1.13862e-06	-2.14215	9.51777e-11	1.46136e-11	0.0300869
0.0452489	22.1	1.14051e-06	-2.14215	8.72317e-11	1.31129e-11	0.0300869
