#T	β	c	e	chiz	chic	s
0.0454545	22	0.0008234	-1.35756	8.9843e-05	0.000120564	0.0162836
0.0452489	22.1	0.000803928	-1.35756	8.63011e-05	0.000115943	0.0162809
0.045045	22.2	0.000785211	-1.35756	8.28983e-05	0.000111499	0.0162784
0.044843	22.3	0.000767224	-1.35756	7.96291e-05	0.000107224	0.0162759
0.0446429	22.4	0.000749942	-1.35756	7.64883e-05	0.000103111	0.0162736
0.0444444	22.5	0.00073334	-1.35756	7.34709e-05	9.91553e-05	0.0162713
0.0442478	22.6	0.000717396	-1.35756	7.05721e-05	9.53504e-05	0.0162691
0.0440529	22.7	0.000702087	-1.35756	6.77872e-05	9.16905e-05	0.016267
0.0438596	22.8	0.000687391	-1.35756	6.51118e-05	8.81702e-05	0.016265
0.0436681	22.9	0.000673288	-1.35756	6.25416e-05	8.47843e-05	0.0162631
0.0434783	23	0.000659756	-1.35756	6.00725e-05	8.15276e-05	0.0162612
0.04329	23.1	0.000646777	-1.35756	5.77005e-05	7.83952e-05	0.0162595
0.0431034	23.2	0.000634331	-1.35756	5.54219e-05	7.53825e-05	0.0162578
0.0429185	23.3	0.0006224	-1.35756	5.3233e-05	7.24849e-05	0.0162561
0.042735	23.4	0.000610966	-1.35756	5.11302e-05	6.9698e-05	0.0162546
0.0425532	23.5	0.000600013	-1.35756	4.91103e-05	6.70177e-05	0.0162531
0.0423729	23.6	0.000589523	-1.35756	4.71698e-05	6.44399e-05	0.0162516
0.0421941	23.7	0.000579481	-1.35756	4.53059e-05	6.19606e-05	0.0162502
0.0420168	23.8	0.000569871	-1.35756	4.35153e-05	5.95763e-05	0.0162489
0.041841	23.9	0.000560678	-1.35756	4.17953e-05	5.72832e-05	0.0162476
0.0416667	24	0.000551888	-1.35756	4.01432e-05	5.50779e-05	0.0162464
0.0414938	24.1	0.000543488	-1.35756	3.85561e-05	5.29571e-05	0.0162452
0.0413223	24.2	0.000535463	-1.35756	3.70316e-05	5.09176e-05	0.0162441
0.0411523	24.3	0.0005278	-1.35756	3.55673e-05	4.89562e-05	0.016243
0.0409836	24.4	0.000520487	-1.35756	3.41607e-05	4.707e-05	0.0162419
0.0408163	24.5	0.000513513	-1.35756	3.28096e-05	4.52561e-05	0.0162409
0.0406504	24.6	0.000506865	-1.35756	3.15119e-05	4.35117e-05	0.01624
0.0404858	24.7	0.000500531	-1.35756	3.02653e-05	4.18344e-05	0.0162391
0.0403226	24.8	0.000494502	-1.35756	2.9068e-05	4.02214e-05	0.0162382
0.0401606	24.9	0.000488766	-1.35756	2.7918e-05	3.86704e-05	0.0162373
0.04	25	0.000483314	-1.35756	2.68133e-05	3.71789e-05	0.0162365
